account_id,account_name,industry,created_at,account_size
ACC00056,NextGen Labs,Unknown,06/02/2022,136
ACC00141,Cloud Works Inc,Tech,2023/08/29,842
ACC00176,Tech Labs,,11-09-2022,702
ACC00057,Cloud Works,Retail,NULL,591
ACC00342,Alpha Partners,Tech,2024-04-24,197
ACC00297,Alpha Enterprises Inc,finance,07/04/2022,903
ACC00378,Alpha Dynamics,Health Care,2023-12-19,34
ACC00233,Digital Dynamics,Healthcare,10/11/2023,173
ACC00177,Advanced Partners LLC,,01/13/2023,999999
ACC00328,Cloud Ventures,Unknown,2023/02/07,790
ACC00397,Innovative Industries,TECHNOLOGY,2024-03-12,193
ACC00138,Innovative Works,Manufacuring,2023/01/24,23
ACC00050,Advanced Systems,finance,2022/05/05,595
ACC00094,Quantum Works,Education,2022/11/13,399
ACC00078,Quantum Solutions,HealthCare,2023-05-09,36
ACC00387,Global Systems,Healthcare,2022/01/01,473
ACC00091,Beta Group LLC,Finance,18-11-2023,902
ACC00022,Digital Enterprises Inc,RETAIL,07-01-2023,166
ACC00174,Cloud Systems,MANUFACTURING,31-05-2024,370
ACC00146,Cloud Ventures,Finance,2023-01-15,15
ACC00113,Tech Systems LLC,Retail,02/01/2022,497
ACC00010,Global Systems,Healthcare,2023/05/02,34
ACC00073,Innovative Systmes,Finance,,48
ACC00322,Quantum Group,Finance,2023/07/01,141
ACC00029,Cloud Ventures,Unknown,15-04-2023,31
ACC00210,Cloud Partners Inc,Technology,NULL,371
ACC00226,Quantum Labs,RETAIL,2023/06/18,999999
ACC00083,GLOBAL SOLUTIONS,Manufacuring,2024-04-05,61
ACC00154,Advanced Systems LLC,Manufacuring,13-02-2024,906
ACC00219,NextGen Partners,Retail,2022-06-03,76
ACC00249,NextGen Ventures Inc,Retail,2023-09-18,26
ACC00031,NextGen Industries LLC,Retail,07/16/2023,31
ACC00343,Tech Ventures Inc,Manufacuring,2024-01-23,63
ACC00071,Beta Enterprises,HealthCare,2024/05/18,14
ACC00133,Premier Dynamics,retail,01-04-2024,16
ACC00034,Smart Group,Manufacuring,08/14/2022,N/A
N/A,Advanced Solutons,EDUCATION,2023-07-30,550
ACC00288,Beta Ventures Inc,Health Care,2023-01-04,11
ACC00103,Smart Systems,finance,07/11/2022,183
ACC00224,Premier Dynamics,Edu,2023-12-07,4
ACC00363,Innovative Industries,Financial Services,2024-04-17,-5
ACC00016,   Digital Solutions ,Manufacturing,2023-06-28,283
ACC00117,Cloud Solutions Inc,Manufacuring,,118
ACC00018,Digital Works Inc,Tech,N/A,
ACC00020,Global Ventures Inc,Edu,2022/09/15,295
ACC00011,NextGen Works Inc,Healthcare,2024/03/25,212
ACC00366,Beta Systems,,2022/06/12,138
ACC00127,Cloud Partners LLC,Retail,05/03/2023,19
ACC00273,Cloud Ventures Inc,Manufacturing,2022-06-13,876
ACC00075,quantum partners inc,Manufacuring,2023/01/26,167
ACC00077,Beta Partners Llc,Manufacuring,,621
ACC00352,Premier Industries,Finance,2023/08/12,84
ACC00095,Premier Labs,HealthCare,2022/05/22,31
ACC00026,Quantum Works Inc,technology,11/04/2022,535
ACC00040,   Global Works,MANUFACTURING,2022/02/24,53
ACC00290,Digital Partners,technology,2023-05-31,726
ACC00275,Smart Labs,MANUFACTURING,2024-05-05,108
ACC00204,Digital Industries,Health Care,2023-08-30,568
ACC00111,Innovative Group,EDUCATION,2022/11/27,34
ACC00300,NextGen Labs Inc,MANUFACTURING,10/27/2023,492
ACC00043,NextGen Ventures LLC,EDUCATION,04-05-2022,188
ACC00045,Beta Dynamics LLC,,2023-08-29,317
ACC00080,Cloud Solutions Inc,TECHNOLOGY,2022-08-09,91
ACC00040,Cloud Partners,Edu,06-07-2023,119
ACC00357,Cloud Systems,Health Care,2023-02-03,49
ACC00325,NEXTGEN VENTURES,Edu,2023-08-20,127
ACC00262,Premier Partners LLC,Health Care,03/02/2024,5
ACC00371,Tech Works,finance,2023-07-13,9
NULL,Advanced Works LLC,Education,2023-04-17,434
ACC00047,Advanced Labs,HealthCare,28-09-2022,12
ACC00230,Smart Ventures,TECHNOLOGY,17-08-2022,135
ACC00119,cloud dynamics llc,retail,02-06-2022,134
ACC00085,Digital Group,Finance,2024-03-08,80
ACC00079,Advanced Ventures,Technology,2023/11/05,97
ACC00058,Innovative Partners,technology,2023-03-27,216
ACC00111,Innovative Group,EDUCATION,2022/11/27,34
ACC00039,Advanced Enterprises,finance,2022-07-14,202
ACC00018,Smart Partners LLC,technology,08/07/2022,23
ACC00235,Smart Dynamics Inc,Manufacturing,2023/12/05,176
ACC00338,Premier Ventures LLC,Healthcare,2023/12/24,641
ACC00032,Smart Ventures,Education,2022/11/24,10
ACC00285,NextGen Partners Inc,Unknown,08/24/2022,366
ACC00166,Smart Enterprises,RETAIL,2023-04-09,N/A
ACC00250,Cloud Systems,RETAIL,2023/08/27,999999
ACC00365,CLOUD PARTNERS,EDUCATION,09/11/2023,154
ACC00194,Tech Enterprises LLC,Manufacturing,03/06/2023,10
ACC00153,Alpha Partners LLC,Unknown,,14
ACC00006,Beta Partners Inc,Retail,2023-02-13,342
ACC00046,alpha solutions llc,Retail,20-03-2024,590
ACC00023,ALPHA GROUP LLC,Unknown,2022-02-01,
ACC00313,Beta Labs LLC,N/A,2022-01-16,81
ACC00125,Quantum Labs LLC,Financial Services,2024-04-03,-5
ACC00384,BETA SYSTEMS,MANUFACTURING,2022/07/09,460
ACC00114,Beta Group Inc,HealthCare,2022-05-28,952
ACC00298,Digital Ventures,Technology,2023-05-27,846
ACC00004,Digital Systems Inc,Unknown,01-12-2023,376
