event_id,account_id,user_id,event_type,event_date,duration_mins,participants_count,features_used
EVT00006253,ACC00007,USR000709,Phone,09/30/2024,425,62,
EVT00004685,ACC00170,USR001324,phone,2024-09-12,N/A,72,breakout_rooms
EVT00001732,ACC00342,USR002761,meeting,2024-09-05,45,43,
EVT00004743,ACC00022,USR000181,MEETING,12-09-2024,-30,40,
EVT00004522,ACC00115,USR000877,Webinar,2024-09-19,63,59,
EVT00006341,ACC00079,USR000626,Phone,2024/09/24,0,70,"screen_share,recording"
EVT00000577,ACC00039,USR000328,Webinar,2024-07-08,99999,15,"screen_share,breakout_rooms"
EVT00005203,ACC00281,USR002264,phone,2024/08/27,75,96,
EVT00006364,ACC00009,USR000035,Meeting,16-07-2024,237,43,
EVT00000440,ACC00281,USR002249,Webinar,2024-07-26,99999,100,"screen_share,recording,breakout_rooms,polling"
EVT00002751,ACC00180,USR001389,phone,2024/09/06,60,90,
EVT00007488,ACC00179,USR001382,phone,15-08-2024,102,54,
EVT00005273,ACC00269,USR002162,Meeting,21-09-2024,334,51,
EVT00005654,ACC00130,USR000998,Webinar,09/20/2024,212,28,"screen_share,recording,breakout_rooms"
EVT00004000,ACC00062,USR000472,phone,06-09-2024,97,81,"recording,breakout_rooms"
EVT00006034,ACC00062,USR000462,Meeting,20-07-2024,45,64,
EVT00000583,ACC00046,USR000377,MEETING,2024-09-17,201,55,
EVT00009931,ACC00232,USR001792,Phone,01-10-2024,63,53,
,ACC00236,USR999352,phone,08/19/2024,15,26,
EVT00008159,ACC00103,USR000791,Meeting,2024-09-26,114,85,screen_share
EVT00009897,ACC00207,USR001554,phone,07/02/2024,60,43,screen_share | breakout_rooms
EVT00002250,ACC00316,USR002575,MEETING,09/25/2024,76,43,"recording,breakout_rooms"
EVT00004641,ACC00322,USR002652,Meeting,2024-08-18,444,20,
EVT00009486,ACC00116,USR000897,MEETING,2024/09/13,105,18,breakout_rooms
EVT00004948,ACC00103,USR000797,Webinar,28-08-2024,30,17,
EVT00009921,ACC00290,USR002360,Meeting,02-08-2024,60,88,
EVT00001964,ACC00058,USR000441,MEETING,2024/07/31,119,62,
EVT00008244,ACC00022,USR000140,Meeting,02-07-2024,45,75,
EVT00006591,ACC00154,USR001147,meeting,N/A,98,36,
EVT00008848,ACC00029,USR000585,webinar,2024/09/19,125,7,
EVT00000322,ACC00014,USR002618,Webinar,2024-07-03,60,43,
EVT00002679,ACC00253,USR002046,phone,2024/10/01,66,25,
EVT00004626,ACC00215,USR001665,webinar,2024/07/20,30,8,
EVT00004950,ACC00145,USR001106,Meeting,05-08-2024,64,70,breakout_rooms
EVT00008329,ACC00268,USR999260,MEETING,2024-09-21,30,39,
EVT00003338,ACC00165,USR001270,MEETING,08/13/2024,15,69,
EVT00005590,ACC00047,USR002480,Webinar,08/25/2024,189,50,
EVT00000252,ACC00031,USR001685,phone,2024-07-23,394,26,
EVT00003974,ACC00161,USR001251,Meeting,2024/09/11,60,62,
EVT00006631,ACC00022,USR000150,Webinar,18-08-2024,344,7,
EVT00005548,ACC00342,USR002759,phone,09/13/2024,45,34,
EVT00000036,ACC00149,USR001135,phone,2024-08-05,346,51,
EVT00008363,ACC00007,USR000710,meeting,2024-07-15,316,,breakout_rooms
EVT00001514,ACC00239,USR001851,webinar,NULL,191,55,
EVT00009318,ACC00138,USR001063,meeting,09/19/2024,45,23,
EVT00000040,ACC00287,USR002343,meeting,2024/08/15,89,40,recording
EVT00004820,ACC00248,USR001994,phone,09/29/2024,45,39,screen_share
EVT00003466,ACC00214,USR001631,Webinar,24-08-2024,45,21,
EVT00001761,ACC00211,USR001589,webinar,2024/09/08,85,58,"screen_share,recording,breakout_rooms"
EVT00002305,ACC00281,USR002284,MEETING,08/06/2024,45,63,
EVT00003724,ACC00227,USR001764,Phone,08/27/2024,101,38,
EVT00008285,ACC00042,USR000351,phone,2024/07/05,15,2,"screen_share,recording"
EVT00004994,ACC00322,USR002661,Phone,N/A,45,69,"screen_share,recording,breakout_rooms"
EVT00008128,ACC00356,USR002842,Meeting,NULL,60,95,recording
EVT00003033,ACC00041,USR000343,webinar,2024/08/30,106,97,
EVT00007939,ACC00022,USR000151,Webinar,2024/08/02,73,9,breakout_rooms
EVT00003040,ACC00388,USR003116,phone,09/01/2024,199,68,
EVT00009656,ACC00224,USR001716,MEETING,07/21/2024,360,19,
EVT00002546,ACC00371,USR003013,Meeting,2024-08-03,15,-5,
EVT00002593,ACC00249,USR001999,phone,2024-09-13,107,,
EVT00001189,ACC00356,USR002844,Phone,2024/09/07,66,34,
EVT00007967,ACC00314,USR002544,Webinar,2024/07/21,357,17,
EVT00006078,ACC00366,USR002938,meeting,08-08-2024,45,6,
EVT00000108,ACC00115,USR000884,webinar,2024/09/19,107,42,
EVT00001316,ACC00215,USR001671,webinar,2024/08/20,105,60,
EVT00008188,ACC00188,USR001425,phone,01-10-2024,205,48,
EVT00002754,ACC00224,USR001722,webinar,19-09-2024,,67,
EVT00009754,ACC00262,USR002103,MEETING,08-09-2024,84,13,
EVT00006232,ACC00047,USR002480,webinar,2024-09-24,15,84,recording
EVT00002877,ACC00036,USR000278,MEETING,01-09-2024,30,9,
EVT00005324,ACC00207,USR999746,Phone,2024-08-30,67,62,recording
EVT00000800,ACC00082,USR999873,Webinar,2024-08-30,68,18,
EVT00003571,ACC00317,USR002578,phone,2024/09/17,60,22,
EVT00002895,ACC00281,USR002256,phone,2024/08/13,45,59,
EVT00002928,ACC00047,USR002488,meeting,2024-09-23,N/A,66,recording
EVT00008179,ACC00010,USR000048,Phone,2024-08-09,110,45,
EVT00000972,ACC00154,USR001161,MEETING,2024/08/17,15,3,
EVT00006688,ACC00374,USR003045,MEETING,2024/08/05,61,92,screen_share
EVT00008576,ACC00069,USR000536,webinar,08/02/2024,60,60,
EVT00002021,ACC00263,USR002111,meeting,2024-08-07,30,46,breakout_rooms
EVT00009055,ACC00281,USR002279,MEETING,2024-09-13,180,17,"screen_share,recording,breakout_rooms"
EVT00000953,ACC00299,USR002441,Phone,2024-09-25,-30,75,
EVT00005360,ACC00069,USR000518,MEETING,08/13/2024,76,-5,"screen_share,recording"
EVT00003858,ACC00193,USR001439,Phone,07/03/2024,82,53,
EVT00005862,ACC00395,USR003208,meeting,2024-08-26,15,80,"screen_share,recording"
EVT00003146,ACC00278,USR002222,phone,NULL,317,74,
EVT00003306,ACC00087,USR000700,Webinar,2024-08-20,94,90,breakout_rooms
EVT00003007,ACC00120,USR000962,Phone,2024/07/30,15,-5,
EVT00009002,ACC00170,USR001317,phone,17-07-2024,135,89,
EVT00007771,ACC00113,USR000836,MEETING,2024-07-09,30,53,recording
,ACC00391,USR003144,webinar,2024-07-13,30,79,
EVT00007943,ACC00028,USR000242,Phone,07/11/2024,30,53,
EVT00009239,ACC00010,USR999253,phone,2024/07/19,15,20,
EVT00001057,ACC00070,USR000543,Phone,07/02/2024,60,73,
EVT00003155,ACC00031,USR000262,Phone,,N/A,95,breakout_rooms
EVT00003788,ACC00135,USR001043,Phone,2024-09-14,108,,
EVT00009190,ACC00076,USR000618,phone,2024/09/04,114,79,
EVT00007826,ACC00281,USR002270,Webinar,06-07-2024,378,89,RECORDING
EVT00007540,ACC00317,USR002584,meeting,2024-09-01,178,39,recording
EVT00007232,ACC00248,USR001990,Webinar,2024-09-08,60,23,
EVT00000765,ACC00022,USR000142,Phone,18-07-2024,30,33,
EVT00005020,ACC00138,USR001083,MEETING,2024/07/18,30,77,
EVT00004904,ACC99969,USR003253,Phone,17-09-2024,66,82,
EVT00008094,ACC00011,USR000057,MEETING,2024-08-04,400,91,
EVT00006844,ACC00281,USR002281,Meeting,10-09-2024,91,5,
EVT00002166,ACC00391,USR003171,Meeting,2024/08/24,105,41,
EVT00001863,ACC00103,USR999555,Meeting,2024-07-30,110,89,"screen_share,recording,breakout_rooms,polling"
EVT00007851,ACC00096,USR000768,webinar,2024/09/20,76,99,
EVT00009124,ACC00370,USR999657,Webinar,28-08-2024,422,37,
EVT00002341,ACC00268,USR002138,Phone,2024-09-30,113,58,
EVT00005528,ACC00082,USR000644,MEETING,08/03/2024,60,44,
EVT00006744,ACC00197,USR001480,meeting,2024-07-20,30,37,
EVT00004004,ACC00370,USR003004,Phone,2024-09-18,86,10000,
EVT00001124,ACC00306,USR002499,Webinar,N/A,300,61,
EVT00008710,ACC00249,USR002007,Phone,26-08-2024,60,50,
